357913945 0 0 0 357913943 0 0 0 , 357913945 0 0 0 357913943 0 0 0 
357913943 0 357913942 0 357913942 0 357913943 0 , 357913943 0 357913942 0 357913942 0 357913943 0 
357913944 0 0 0 357913944 0 0 0 , 357913944 0 0 0 357913944 0 0 0 
357913944 0 357913942 0 0 0 357913943 0 , 357913944 0 357913942 0 0 0 357913943 0 
357913942 0 357913945 0 0 0 357913942 0 , 357913942 0 357913945 0 0 0 357913942 0 
357913943 0 0 0 357913945 0 0 0 , 357913943 0 0 0 357913945 0 0 0 
357913945 0 357913943 0 0 0 0 0 , 357913945 0 357913943 0 0 0 0 0 
357913943 0 357913944 0 357913942 0 0 0 , 357913943 0 357913944 0 357913942 0 0 0 
357913944 0 357913943 0 357913942 0 0 0 , 357913944 0 357913943 0 357913942 0 0 0 
357913943 0 357913943 0 357913942 0 357913942 0 , 357913943 0 357913943 0 357913942 0 357913942 0 
357913945 0 357913942 0 357913942 0 0 0 , 357913945 0 357913942 0 357913942 0 0 0 
357913943 0 357913942 0 357913944 0 0 0 , 357913943 0 357913942 0 357913944 0 0 0 
357913942 0 357913942 0 357913943 0 357913943 0 , 357913942 0 357913942 0 357913943 0 357913943 0 
357913943 0 0 0 357913944 0 357913942 0 , 357913943 0 0 0 357913944 0 357913942 0 
357913943 0 357913944 0 0 0 357913942 0 , 357913943 0 357913944 0 0 0 357913942 0 
357913943 0 357913942 0 357913943 0 357913942 0 , 357913943 0 357913942 0 357913943 0 357913942 0 
357913943 0 357913943 0 357913943 0 0 0 , 357913943 0 357913943 0 357913943 0 0 0 
357913944 0 357913942 0 357913943 0 0 0 , 357913944 0 357913942 0 357913943 0 0 0 
357913942 0 357913945 0 357913942 0 0 0 , 357913942 0 357913945 0 357913942 0 0 0 
357913942 0 0 0 357913945 0 357913942 0 , 357913942 0 0 0 357913945 0 357913942 0 
357913944 0 357913943 0 0 0 357913942 0 , 357913944 0 357913943 0 0 0 357913942 0 
357913944 0 0 0 357913942 0 357913943 0 , 357913944 0 0 0 357913942 0 357913943 0 
357913946 0 0 0 357913942 0 0 0 , 357913946 0 0 0 357913942 0 0 0 
357913942 0 357913942 0 357913945 0 0 0 , 357913942 0 357913942 0 357913945 0 0 0 
357913942 0 357913944 0 0 0 357913943 0 , 357913942 0 357913944 0 0 0 357913943 0 
357913946 0 357913942 0 0 0 0 0 , 357913946 0 357913942 0 0 0 0 0 
357913942 0 357913944 0 357913943 0 0 0 , 357913942 0 357913944 0 357913943 0 0 0 
357913944 0 357913944 0 0 0 0 0 , 357913944 0 357913944 0 0 0 0 0 
357913943 0 357913945 0 0 0 0 0 , 357913943 0 357913945 0 0 0 0 0 
357913942 0 357913944 0 357913942 0 357913942 0 , 357913942 0 357913944 0 357913942 0 357913942 0 
357913945 0 357913942 0 0 0 357913942 0 , 357913945 0 357913942 0 0 0 357913942 0 
357913942 0 357913943 0 357913942 0 357913943 0 , 357913942 0 357913943 0 357913942 0 357913943 0 
357913942 0 0 0 357913946 0 0 0 , 357913942 0 0 0 357913946 0 0 0 
357913947 0 0 0 0 0 0 0 , 357913947 0 0 0 0 0 0 0 
357913942 0 357913943 0 357913944 0 0 0 , 357913942 0 357913943 0 357913944 0 0 0 
